time,open,high,low,close,ask_size,bid_size
2025-06-26 19:41:00,107589.7,107598.6,107589.7,107590.4,1.037606,0.920249
2025-06-26 19:42:00,107590.3,107598.5,107583.6,107598.4,0.344449,0.426958
2025-06-26 19:43:00,107598.4,107598.4,107577.9,107577.9,4.599094,0.0015130000000000002
2025-06-26 19:44:00,107577.9,107594.0,107577.9,107585.1,0.777379,1.332066
2025-06-26 19:45:00,107585.0,107596.4,107542.9,107596.4,4.090155,1.315624
2025-06-26 19:46:00,107596.4,107605.8,107548.5,107548.5,1.73865,5.723635
2025-06-26 19:47:00,107547.9,107558.2,107538.5,107538.5,0.947646,2.016047
2025-06-26 19:48:00,107538.5,107595.8,107538.4,107595.7,0.084255,1.365425
2025-06-26 19:49:00,107595.7,107605.8,107589.6,107590.0,2.581743,1.346262
2025-06-26 19:50:00,107589.3,107595.4,107550.8,107568.0,2.606109,1.425992
2025-06-26 19:51:00,107566.5,107566.6,107497.5,107528.2,6.297837,1.576362
2025-06-26 19:52:00,107529.7,107545.0,107522.1,107543.1,1.697557,1.053273
2025-06-26 19:53:00,107543.2,107605.8,107543.1,107605.8,0.520353,0.94575
2025-06-26 19:54:00,107605.8,107628.8,107532.9,107539.2,2.772401,3.309506
2025-06-26 19:55:00,107539.2,107539.2,107510.2,107513.2,1.620884,0.728129
2025-06-26 19:56:00,107513.1,107587.2,107505.8,107585.0,1.076495,2.6927309999999998
2025-06-26 19:57:00,107585.1,107623.0,107585.1,107622.9,1.334244,3.917939
2025-06-26 19:58:00,107623.0,107666.0,107614.7,107635.9,2.0379840000000002,4.50032
2025-06-26 19:59:00,107635.9,107635.9,107485.6,107525.9,8.952744,4.895175
2025-06-26 20:00:00,107525.9,107525.9,107454.3,107463.7,6.293005,2.223907
2025-06-26 20:01:00,107463.6,107466.9,107442.0,107466.9,1.375411,1.199775
2025-06-26 20:02:00,107466.9,107479.6,107454.0,107479.5,1.45073,2.117085
2025-06-26 20:03:00,107479.6,107482.9,107473.2,107481.8,0.956991,0.9820409999999999
2025-06-26 20:04:00,107481.8,107481.8,107447.0,107451.7,1.6937039999999999,0.469341
2025-06-26 20:05:00,107451.7,107609.4,107451.6,107609.3,0.156839,13.624905
2025-06-26 20:06:00,107609.4,107634.8,107578.5,107592.4,2.425676,1.317149
2025-06-26 20:07:00,107592.4,107612.5,107592.4,107612.5,0.031286,0.7358979999999999
2025-06-26 20:08:00,107612.4,107631.9,107612.4,107631.8,1.045352,0.755391
2025-06-26 20:09:00,107631.8,107631.9,107599.3,107624.0,0.975676,0.892704
2025-06-26 20:10:00,107624.0,107631.1,107583.0,107583.1,2.65789,0.655602
2025-06-26 20:11:00,107583.1,107589.8,107577.0,107577.0,0.332569,1.659464
2025-06-26 20:12:00,107577.0,107577.5,107573.4,107576.2,1.319463,1.78534
2025-06-26 20:13:00,107574.8,107574.8,107553.0,107553.0,1.046527,0.772611
2025-06-26 20:14:00,107553.1,107572.7,107522.5,107544.4,2.083068,2.182642
2025-06-26 20:15:00,107544.4,107579.2,107544.3,107579.2,1.87793,1.467079
2025-06-26 20:16:00,107579.4,107579.4,107545.1,107550.6,1.787816,0.267612
2025-06-26 20:17:00,107550.5,107589.9,107534.7,107589.9,1.261376,3.145851
2025-06-26 20:18:00,107590.0,107617.9,107590.0,107614.6,0.531476,1.981735
2025-06-26 20:19:00,107614.5,107614.5,107592.5,107592.5,1.298906,0.004138
2025-06-26 20:20:00,107592.5,107595.0,107592.5,107594.9,0.008563000000000001,0.765106
2025-06-26 20:21:00,107595.0,107595.0,107522.6,107522.6,7.087361,0.62831
2025-06-26 20:22:00,107522.6,107582.6,107522.6,107582.5,0.302663,2.085732
2025-06-26 20:23:00,107582.5,107635.7,107578.2,107578.5,1.879525,1.093864
2025-06-26 20:24:00,107578.5,107578.5,107563.8,107571.5,0.514938,1.133292
2025-06-26 20:25:00,107571.6,107571.6,107549.2,107549.3,0.599376,0.097048
2025-06-26 20:26:00,107549.3,107549.3,107545.8,107545.8,0.25724,0.320035
2025-06-26 20:27:00,107545.9,107549.2,107545.8,107549.2,0.064463,0.34267
2025-06-26 20:28:00,107549.2,107618.1,107529.0,107618.1,0.661029,4.475638
2025-06-26 20:29:00,107618.0,107618.0,107574.1,107604.7,2.173634,4.703082
2025-06-26 20:30:00,107604.8,107646.2,107604.7,107641.6,0.824974,2.955232
2025-06-26 20:31:00,107641.6,107684.9,107641.6,107684.9,0.919454,1.227035
2025-06-26 20:32:00,107684.8,107685.0,107675.0,107684.9,0.782023,0.33453900000000003
2025-06-26 20:33:00,107684.9,107880.2,107684.9,107829.7,9.101017,24.603022
2025-06-26 20:34:00,107829.8,107846.8,107798.4,107828.2,1.421587,1.284869
2025-06-26 20:35:00,107828.2,107842.5,107785.5,107818.1,2.667604,1.373438
2025-06-26 20:36:00,107818.1,107849.9,107818.1,107832.0,1.076757,0.628425
